"departement","annee","nb_nouveaux_exploitants"
"27",2018,22
"27",2019,28
"27",2020,26
"27",2021,21
"27",2022,21
"27",2023,15
"27",2024,9
"28",2010,7
"28",2011,4
"28",2012,3
"28",2013,4
"28",2014,5
"28",2015,6
"28",2016,4
"28",2017,19
"28",2018,37
"28",2019,22
"28",2020,15
"28",2021,13
"28",2022,15
"28",2023,10
"28",2024,10
"29",2010,42
"29",2011,40
"29",2012,20
"29",2013,28
"29",2014,21
"29",2015,45
"29",2016,71
"29",2017,60
"29",2018,94
"29",2019,79
"29",2020,91
"29",2021,72
"29",2022,77
"29",2023,79
"29",2024,100
"30",2010,50
"30",2011,38
"30",2012,32
"30",2013,23
"30",2014,30
"30",2015,34
"30",2016,45
"30",2017,81
"30",2018,112
"30",2019,143
"30",2020,184
"30",2021,157
"30",2022,114
"30",2023,102
"30",2024,111
"31",2010,28
"31",2011,26
"31",2012,14
"31",2013,13
"31",2014,25
"31",2015,63
"31",2016,45
"31",2017,38
"31",2018,66
"31",2019,78
"31",2020,118
"31",2021,159
"31",2022,111
"31",2023,119
"31",2024,219
"32",2010,52
"32",2011,25
"32",2012,33
"32",2013,40
"32",2014,50
"32",2015,148
"32",2016,94
"32",2017,76
"32",2018,146
"32",2019,160
"32",2020,191
"32",2021,222
"32",2022,102
"32",2023,144
"32",2024,298
"33",2010,76
"33",2011,39
"33",2012,29
"33",2013,22
"33",2014,21
"33",2015,29
"33",2016,44
"33",2017,67
"33",2018,108
"33",2019,168
"33",2020,229
"33",2021,194
"33",2022,96
"33",2023,68
"33",2024,65
"34",2010,66
"34",2011,52
"34",2012,25
"34",2013,35
"34",2014,17
"34",2015,40
"34",2016,47
"34",2017,85
"34",2018,137
"34",2019,139
"34",2020,137
"34",2021,134
"34",2022,113
"34",2023,111
"34",2024,108
"35",2010,51
"35",2011,15
"35",2012,20
"35",2013,18
"35",2014,16
"35",2015,30
"35",2016,97
"35",2017,63
"35",2018,68
"35",2019,71
"35",2020,87
"35",2021,73
"35",2022,53
"35",2023,60
"35",2024,64
"36",2010,6
"36",2011,3
"36",2012,5
"36",2013,5
"36",2014,8
"36",2015,16
"36",2016,8
"36",2017,15
"36",2018,21
"36",2019,21
"36",2020,36
"36",2021,26
"36",2022,20
"36",2023,14
"36",2024,13
"37",2010,17
"37",2011,18
"37",2012,17
"37",2013,15
"37",2014,7
"37",2015,30
"37",2016,10
"37",2017,23
"37",2018,36
"37",2019,43
"37",2020,60
"37",2021,56
"37",2022,38
"37",2023,32
"37",2024,39
"38",2010,34
"38",2011,30
"38",2012,17
"38",2013,13
"38",2014,14
"38",2015,36
"38",2016,48
"38",2017,36
"38",2018,55
"38",2019,83
"38",2020,96
"38",2021,92
"38",2022,75
"38",2023,69
"38",2024,65
"39",2010,19
"39",2011,11
"39",2012,16
"39",2013,9
"39",2014,5
"39",2015,20
"39",2016,22
"39",2017,35
"39",2018,34
"39",2019,31
"39",2020,36
"39",2021,41
"39",2022,36
"39",2023,44
"39",2024,36
"40",2010,12
"40",2011,9
"40",2012,4
"40",2013,7
"40",2014,5
"40",2015,9
"40",2016,18
"40",2017,29
"40",2018,36
"40",2019,45
"40",2020,31
"40",2021,29
"40",2022,23
"40",2023,25
"40",2024,45
"41",2010,13
"41",2011,3
"41",2012,1
"41",2013,10
"41",2014,3
"41",2015,7
"41",2016,9
"41",2017,16
"41",2018,18
"41",2019,28
"41",2020,24
"41",2021,32
"41",2022,27
"41",2023,12
"41",2024,16
"42",2010,32
"42",2011,19
"42",2012,11
"42",2013,15
"42",2014,15
"42",2015,19
"42",2016,50
"42",2017,54
"42",2018,45
"42",2019,38
"42",2020,43
"42",2021,44
"42",2022,31
"42",2023,38
"42",2024,37
"43",2010,38
"43",2011,19
"43",2012,10
"43",2013,11
"43",2014,12
"43",2015,26
"43",2016,68
"43",2017,26
"43",2018,26
"43",2019,37
"43",2020,36
"43",2021,40
"43",2022,50
"43",2023,32
"43",2024,40
"44",2010,61
"44",2011,30
"44",2012,20
"44",2013,23
"44",2014,21
"44",2015,39
"44",2016,77
"44",2017,76
"44",2018,74
"44",2019,103
"44",2020,94
"44",2021,97
"44",2022,67
"44",2023,81
"44",2024,215
"45",2010,15
"45",2011,2
"45",2012,2
"45",2013,4
"45",2014,6
"45",2015,6
"45",2016,6
"45",2017,12
"45",2018,18
"45",2019,19
"45",2020,24
"45",2021,21
